[event] core 收到 Typing："C" | revision 114 | 核心动作 112 | 预编辑事件 0 | IME 提交 0
[event] core 收到 Typing："R" | revision 115 | 核心动作 113 | 预编辑事件 0 | IME 提交 0
[event] core 收到 Typing："O" | revision 116 | 核心动作 114 | 预编辑事件 0 | IME 提交 0
[event] core 收到 Typing："L" | revision 117 | 核心动作 115 | 预编辑事件 0 | IME 提交 0
[event] core 收到 Typing：" " | revision 119 | 核心动作 117 | 预编辑事件 0 | IME 提交 0
[event] core 收到 Typing："S" | revision 120 | 核心动作 118 | 预编辑事件 0 | IME 提交 0
[event] core 收到 Typing："C" | revision 121 | 核心动作 119 | 预编辑事件 0 | IME 提交 0
[event] core 收到 Typing："R" | revision 122 | 核心动作 120 | 预编辑事件 0 | IME 提交 0
[event] core 收到 Typing："O" | revision 123 | 核心动作 121 | 预编辑事件 0 | IME 提交 0
[event] core 收到 Typing："L" | revision 124 | 核心动作 122 | 预编辑事件 0 | IME 提交 0
[event] core 收到 Typing：" " | revision 126 | 核心动作 124 | 预编辑事件 0 | IME 提交 0
[event] core 收到 Typing："S" | revision 127 | 核心动作 125 | 预编辑事件 0 | IME 提交 0
[event] core 收到 Typing："C" | revision 128 | 核心动作 126 | 预编辑事件 0 | IME 提交 0
[event] core 收到 Typing："R" | revision 129 | 核心动作 127 | 预编辑事件 0 | IME 提交 0
[event] core 收到 Typing："O" | revision 130 | 核心动作 128 | 预编辑事件 0 | IME 提交 0
[event] core 收到 Typing："L" | revision 131 | 核心动作 129 | 预编辑事件 0 | IME 提交 0
[event] core 收到 Typing：" " | revision 133 | 核心动作 131 | 预编辑事件 0 | IME 提交 0
[event] core 收到 Typing："S" | revision 134 | 核心动作 132 | 预编辑事件 0 | IME 提交 0
[event] core 收到 Typing："C" | revision 135 | 核心动作 133 | 预编辑事件 0 | IME 提交 0
[event] core 收到 Typing："R" | revision 136 | 核心动作 134 | 预编辑事件 0 | IME 提交 0
[event] core 收到 Typing："O" | revision 137 | 核心动作 135 | 预编辑事件 0 | IME 提交 0
[event] core 收到 Typing："L" | revision 138 | 核心动作 136 | 预编辑事件 0 | IME 提交 0
[event] core 收到 Typing：" " | revision 140 | 核心动作 138 | 预编辑事件 0 | IME 提交 0
[event] core 收到 Typing："S" | revision 141 | 核心动作 139 | 预编辑事件 0 | IME 提交 0
[event] core 收到 Typing："C" | revision 142 | 核心动作 140 | 预编辑事件 0 | IME 提交 0
[event] core 收到 Typing："R" | revision 143 | 核心动作 141 | 预编辑事件 0 | IME 提交 0
